"NAME","GENDER","ORIGIN","ETYMOLOGY","NOTES","CITATION","LINK","AREA","EARLIEST","LATEST","MENTIONS","SIXTH","SEVENTH","EIGHTH","NINTH","TENTH","ELEVENTH","TWELFTH","THIRTEENTH","FOURTEENTH","FIFTEENTH","SIXTEENTH","MEANING","FIRST_LETTER","LENGTH","TOTAL_MENTIONS"
"Abednego","male","Akkadian","Uncertain, but possibly related to an Akkadian name meaning 'servant of Nabu', the Babylonian god of wisdom and writing, or 'servant of Nergal', a solar deity.","The name of a minor Old Testament character. Wycliffite Bible (1395): Abdenago.","S.L. Uckelman. ""Abednego"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abednego.","http://dmnes.org/name/Abednego","France",1565,1565,1,0,0,0,0,0,0,0,0,0,0,1,"'servant of Nabu' 'servant of Nergal'","A",8,1
"Abel","male","Hebrew","Traditionally derived from Hebrew הֶבֶל 'breath, vapor; vanity'.","The name of an early Syrian saint, an early Coptic saint, an 8th C French saint, and a 13th C king of Denmark.
  Geneva Bible (1560): Abél, Habél.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abel"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abel.","http://dmnes.org/name/Abel","England",1189,1598,5,0,0,0,0,0,0,1,1,0,0,3,"'breath, vapor; vanity'","A",4,25
"Abel","male","Hebrew","Traditionally derived from Hebrew הֶבֶל 'breath, vapor; vanity'.","The name of an early Syrian saint, an early Coptic saint, an 8th C French saint, and a 13th C king of Denmark.
  Geneva Bible (1560): Abél, Habél.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abel"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abel.","http://dmnes.org/name/Abel","France",1179,1588,14,0,0,0,0,0,0,1,0,0,0,13,"'breath, vapor; vanity'","A",4,25
"Abel","male","Hebrew","Traditionally derived from Hebrew הֶבֶל 'breath, vapor; vanity'.","The name of an early Syrian saint, an early Coptic saint, an 8th C French saint, and a 13th C king of Denmark.
  Geneva Bible (1560): Abél, Habél.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abel"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abel.","http://dmnes.org/name/Abel","Hungary",1138,1337,6,0,0,0,0,0,0,2,3,1,0,0,"'breath, vapor; vanity'","A",4,25
"Abigail","female","Hebrew","Hebrew אֲבִיגַיִל 'her father's joy'.","The name of a Biblical wife of King David. Wycliffite Bible (1395): Abigail. Geneva Bible (1560): Abigáil.","G. Grim, R. Le Get, J. Uckelman, S.L. Uckelman. ""Abigail"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abigail.","http://dmnes.org/name/Abigail","England",1567,1597,16,0,0,0,0,0,0,0,0,0,0,16,"'her father'","A",7,18
"Abigail","female","Hebrew","Hebrew אֲבִיגַיִל 'her father's joy'.","The name of a Biblical wife of King David. Wycliffite Bible (1395): Abigail. Geneva Bible (1560): Abigáil.","G. Grim, R. Le Get, J. Uckelman, S.L. Uckelman. ""Abigail"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abigail.","http://dmnes.org/name/Abigail","France",1563,1564,2,0,0,0,0,0,0,0,0,0,0,2,"'her father'","A",7,18
"Abone","male",NA,"Obscure.",NA,"S.L. Uckelman. ""Abone"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abone.","http://dmnes.org/name/Abone","England",1573,1573,1,0,0,0,0,0,0,0,0,0,0,1,NA,"A",5,1
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","England",1563,1599,52,0,0,0,0,0,0,0,0,0,0,52,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","France",823,1572,16,0,0,0,1,0,0,1,1,2,0,11,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Hungary",1302,1342,20,0,0,0,0,0,0,0,0,20,0,0,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Italy",1237,1237,1,0,0,0,0,0,0,0,1,0,0,0,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Germany",961,961,1,0,0,0,0,1,0,0,0,0,0,0,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Austria",928,928,1,0,0,0,0,1,0,0,0,0,0,0,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Denmark",1581,1581,1,0,0,0,0,0,0,0,0,0,0,1,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Finland",1582,1582,1,0,0,0,0,0,0,0,0,0,0,1,"'father of a multitude'","A",7,96
"Abraham","male","Hebrew","Hebrew אַבְרָהָם 'father of a multitude'.","The name of one of the Biblical patriarchs, a 4th C martyr, two 4th C Coptic saints, a 5th C French saint, a 5th C Syrian saint, two 5th C Armenian martyrs, a 6th C Syrian saint, a 6th C Persian saint, a 13th C Bulgarian saint, and a 13th C Russian saint. Wycliffite Bible (1395): Abraham. Geneva Bible (1560): Abrahám. Sagradas Escrituras (1569): Abraham.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Abraham"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abraham.","http://dmnes.org/name/Abraham","Sweden",1406,1543,3,0,0,0,0,0,0,0,0,0,2,1,"'father of a multitude'","A",7,96
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","England",1155,1590,4,0,0,0,0,0,0,2,1,0,0,1,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","France",1133,1565,3,0,0,0,0,0,0,2,0,0,0,1,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Hungary",1313,1332,2,0,0,0,0,0,0,0,0,2,0,0,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Italy",1186,1198,2,0,0,0,0,0,0,2,0,0,0,0,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Denmark",1320,1362,2,0,0,0,0,0,0,0,0,2,0,0,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Belgium",1143,1143,1,0,0,0,0,0,0,1,0,0,0,0,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Brabant",1312,1312,1,0,0,0,0,0,0,0,0,1,0,0,"'father of peace'","A",7,16
"Absalom","male","Hebrew","Hebrew אַבְשָלוֹם 'father of peace'.","The name of a Biblical son of King David. Wycliffite Bible (1395): Absalon. Geneva Bible (1560): Abshalóm.","G. Grim, R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Absalom"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Absalom.","http://dmnes.org/name/Absalom","Scotland",1238,1238,1,0,0,0,0,0,0,0,1,0,0,0,"'father of peace'","A",7,16
"Abundance","female","Latin","Latin abundantia 'abundance'.",NA,"S.L. Uckelman. ""Abundance"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abundance.","http://dmnes.org/name/Abundance","Italy",1522,1522,1,0,0,0,0,0,0,0,0,0,0,1,"'abundance'","A",9,1
"Acco","male","Proto-Germanic","A hypocoristic or diminutive of any of various names deriving from Proto-Germanic *agio 'blade'.",NA,"S.L. Uckelman. ""Acco"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Acco.","http://dmnes.org/name/Acco","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,"'blade'","A",4,1
"Aceline","female",NA,"Fem. of Acelin, a dim. of Azo.",NA,"S.L. Uckelman. ""Aceline"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aceline.","http://dmnes.org/name/Aceline","England",1189,1222,2,0,0,0,0,0,0,1,1,0,0,0,NA,"A",7,12
"Aceline","female",NA,"Fem. of Acelin, a dim. of Azo.",NA,"S.L. Uckelman. ""Aceline"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aceline.","http://dmnes.org/name/Aceline","France",1050,1313,10,0,0,0,0,0,1,4,3,2,0,0,NA,"A",7,12
"Acfrid","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old High German fridu, Old Saxon frithu 'peace'.",NA,"S.L. Uckelman. ""Acfrid"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Acfrid.","http://dmnes.org/name/Acfrid","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,"'blade' 'peace'","A",6,1
"Acfrida","female","Proto-Germanic","Proto-Germanic *agio 'blade' + Old High German fridu, Old Saxon frithu 'peace'. Fem. of Acfrid.",NA,"S.L. Uckelman. ""Acfrida"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Acfrida.","http://dmnes.org/name/Acfrida","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,"'blade' 'peace'","A",7,1
"Achard","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old Saxon hard, Old High German hart 'strong, hard'.",NA,"S.L. Uckelman. ""Achard"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achard.","http://dmnes.org/name/Achard","England",1132,1185,2,0,0,0,0,0,0,2,0,0,0,0,"'blade' 'strong, hard'","A",6,18
"Achard","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old Saxon hard, Old High German hart 'strong, hard'.",NA,"S.L. Uckelman. ""Achard"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achard.","http://dmnes.org/name/Achard","France",823,1180,13,0,0,0,1,0,5,7,0,0,0,0,"'blade' 'strong, hard'","A",6,18
"Achard","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old Saxon hard, Old High German hart 'strong, hard'.",NA,"S.L. Uckelman. ""Achard"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achard.","http://dmnes.org/name/Achard","Scotland",1094,1094,1,0,0,0,0,0,1,0,0,0,0,0,"'blade' 'strong, hard'","A",6,18
"Achard","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old Saxon hard, Old High German hart 'strong, hard'.",NA,"S.L. Uckelman. ""Achard"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achard.","http://dmnes.org/name/Achard","Israel",1115,1120,2,0,0,0,0,0,0,2,0,0,0,0,"'blade' 'strong, hard'","A",6,18
"Achere","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old High German heri 'host, army'.",NA,"J. Uckelman, S.L. Uckelman. ""Achere"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achere.","http://dmnes.org/name/Achere","France",823,1388,2,0,0,0,1,0,0,0,0,1,0,0,"'blade' 'host, army'","A",6,3
"Achere","male","Proto-Germanic","Proto-Germanic *agio 'blade' + Old High German heri 'host, army'.",NA,"J. Uckelman, S.L. Uckelman. ""Achere"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achere.","http://dmnes.org/name/Achere","Switzerland",1553,1553,1,0,0,0,0,0,0,0,0,0,0,1,"'blade' 'host, army'","A",6,3
"Acherea","female",NA,"Fem. of Achere.",NA,"S.L. Uckelman. ""Acherea"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Acherea.","http://dmnes.org/name/Acherea","France",1147,1147,1,0,0,0,0,0,0,1,0,0,0,0,NA,"A",7,1
"Achilde","female","Proto-Germanic","Proto-Germanic *agio 'blade' + Old High German hiltja 'battle'.",NA,"S.L. Uckelman. ""Achilde"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achilde.","http://dmnes.org/name/Achilde","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,"'blade' 'battle'","A",7,1
"Achilles","male","Ancient Greek","Ancient Greek Ἀχιλλεύς, the name of the mythological Greek hero of Troy.","The name of a 3rd C saint and a 4th C saint.","G. Grim, M. Slíz, J. Uckelman, S.L. Uckelman. ""Achilles"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Achilles.","http://dmnes.org/name/Achilles","Hungary",1304,1321,3,0,0,0,0,0,0,0,0,3,0,0,NA,"A",8,3
"Aclebalda","female",NA,"Fem. of Aclebald.",NA,"S.L. Uckelman. ""Aclebalda"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aclebalda.","http://dmnes.org/name/Aclebalda","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,NA,"A",9,1
"Acleberta","female","Proto-Germanic","Proto-Germanic *agio 'blade' lengthened to Old French agil + Old High German beraht, Old Saxon berht 'bright' from Proto-Germanic *berhtaz.",NA,"S.L. Uckelman. ""Acleberta"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Acleberta.","http://dmnes.org/name/Acleberta","France",823,823,1,0,0,0,1,0,0,0,0,0,0,0,"'blade' 'bright'","A",9,1
